file,inst number,r,inst type,problemtype,model,algorithm,z,best lp,root bound,opened facilities,lazy cuts conenctivity,lazy cuts cost,user cuts cost,node count,time,status,z*,gap z*,gap z lp,id code
datap/pmed20.txt,20,50,pmed,MPIF,SW,nobenders,1796,1796,0,0,0,0,0,0,8.283772,101,1796,0,0,20-50
datap/pmed20.txt,20,25,pmed,MPIF,SW,nobenders,2045,2045,0,0,0,0,0,3,11.438001,101,2045,0,0,20-25
datap/pmed21.txt,21,80,pmed,MPIF,SW,nobenders,9514,9514,0,0,0,0,0,0,10.730856,101,9514,0,0,21-80
datap/pmed21.txt,21,50,pmed,MPIF,SW,nobenders,9514,9514,0,0,0,0,0,0,83.522499,101,9514,0,0,21-50
datap/pmed21.txt,21,25,pmed,MPIF,SW,nobenders,9514,9514,0,0,0,0,0,0,16.98683,101,9514,0,0,21-25
datap/pmed22.txt,22,80, pmed , MPIF ,SW,nobenders,8665,8665,0,0,0,0,0,14,1418.670213,101,8665,0,0,22-80
datap/pmed22.txt,22,50, pmed , MPIF ,SW,nobenders,8665,8665,0,0,0,0,0,7,802.490409,101,8665,0,0,22-50
datap/pmed22.txt,22,25,pmed,MPIF,SW,nobenders,8665,8665,0,0,0,0,0,20,255.749582,101,8665,0,0,22-25
datap/pmed23.txt,23,80,pmed,MPIF,SW,nobenders,4648,4648,0,0,0,0,0,0,36.922424,101,4648,0,0,23-80
datap/pmed23.txt,23,50,pmed,MPIF,SW,nobenders,4648,4648,0,0,0,0,0,0,37.728168,101,4648,0,0,23-50
datap/pmed23.txt,23,25,pmed,MPIF,SW,nobenders,4665,4665,0,0,0,0,0,0,31.193236,101,4665,0,0,23-25
datap/pmed24.txt,24,80,pmed,MPIF,SW,nobenders,2976,2976,0,0,0,0,0,0,20.66241,101,2976,0,0,24-80
datap/pmed24.txt,24,50,pmed,MPIF,SW,nobenders,2976,2976,0,0,0,0,0,0,19.425778,101,2976,0,0,24-50
datap/pmed24.txt,24,25,pmed,MPIF,SW,nobenders,3020,3020,0,0,0,0,0,17,51.235968,101,3020,0,0,24-25
datap/pmed25.txt,25,80,pmed,MPIF,SW,nobenders,1832,1832,0,0,0,0,0,0,23.238541,101,1832,0,0,25-80
datap/pmed25.txt,25,50,pmed,MPIF,SW,nobenders,1832,1832,0,0,0,0,0,0,42.070023,101,1832,0,0,25-50
datap/pmed25.txt,25,25,pmed,MPIF,SW,nobenders,1929,1929,0,0,0,0,0,0,32.124986,101,1929,0,0,25-25
data/111Eucl.txt,111,2500,eucl,MPIF,SW,nobenders,93415,93415,0,0,0,0,0,0,0.14459,101,93415,0,0,111-2500
data/111Eucl.txt,111,1500, eucl , MPIF ,SW,nobenders,98400,98390.16723,0,0,0,0,0,131528,2999.73106,102,98400,0,9.99265E-05,111-1500
data/111Eucl.txt,111,500,eucl,MPIF,SW,nobenders,341409,341409,0,0,0,0,0,0,0.078985,101,341409,0,0,111-500
data/211Eucl.txt,211,2500,eucl,MPIF,SW,nobenders,95607,95607,0,0,0,0,0,0,0.086612,101,95607,0,0,211-2500
data/211Eucl.txt,211,1500, eucl , MPIF ,SW,nobenders,99487,99382.40493,0,0,0,0,0,220580,3599.842004,107,99473,0.000140742,0.001051344,211-1500
data/211Eucl.txt,211,500,eucl,MPIF,SW,nobenders,316046,316046,0,0,0,0,0,0,0.119533,101,316046,0,0,211-500
data/311Eucl.txt,311,2500,eucl,MPIF,SW,nobenders,93293,93293,0,0,0,0,0,0,0.088401,101,93293,0,0,311-2500
