file;instance number;r;R;inst type;problem type;model;algorithm;z;best lp + const;root bound;opened facilities;lazy cuts connectivity;lazy cuts coverage;user cuts coverage;node count;time;status;z*;gap z*;gap z lp;id code;comments
datap/pmed6.txt;6;80;20; pmed ; CPIF ;SZ;nobenders;157;157;0;0;0;0;0;0;0.082535;101;157;0;0;6-80-20;
datap/pmed6.txt;6;80;15; pmed ; CPIF ;SZ;nobenders;166;166;0;0;0;0;0;0;0.337458;101;166;0;0;6-80-15;
datap/pmed6.txt;6;80;12; pmed ; CPIF ;SZ;nobenders;171;171;0;0;0;0;0;0;0.275642;101;171;0;0;6-80-12;
datap/pmed6.txt;6;80;10; pmed ; CPIF ;SZ;nobenders;176;176;0;0;0;0;0;0;0.29313;101;176;0;0;6-80-10;
datap/pmed6.txt;6;80;8; pmed ; CPIF ;SZ;nobenders;180;180;0;0;0;0;0;0;0.066202;101;180;0;0;6-80-8;
datap/pmed7.txt;7;100;20; pmed ; CPIF ;SZ;nobenders;119;119;0;0;0;0;0;0;0.250732;101;119;0;0;7-100-20;
datap/pmed7.txt;7;100;15; pmed ; CPIF ;SZ;nobenders;139;139;0;0;0;0;0;0;0.239664;101;139;0;0;7-100-15;
datap/pmed7.txt;7;100;12; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.190701;101;147;0;0;7-100-12;
datap/pmed7.txt;7;100;10; pmed ; CPIF ;SZ;nobenders;152;152;0;0;0;0;0;0;0.285612;101;152;0;0;7-100-10;
datap/pmed7.txt;7;100;8; pmed ; CPIF ;SZ;nobenders;161;161;0;0;0;0;0;0;0.748963;101;161;0;0;7-100-8;
datap/pmed7.txt;7;80;20; pmed ; CPIF ;SZ;nobenders;119;119;0;0;0;0;0;0;0.679398;101;119;0;0;7-80-20;
datap/pmed7.txt;7;80;15; pmed ; CPIF ;SZ;nobenders;139;139;0;0;0;0;0;0;0.286068;101;139;0;0;7-80-15;
datap/pmed7.txt;7;80;12; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.185574;101;147;0;0;7-80-12;
datap/pmed7.txt;7;80;10; pmed ; CPIF ;SZ;nobenders;152;152;0;0;0;0;0;0;0.560568;101;152;0;0;7-80-10;
datap/pmed7.txt;7;80;8; pmed ; CPIF ;SZ;nobenders;161;161;0;0;0;0;0;0;0.190954;101;161;0;0;7-80-8;
datap/pmed7.txt;7;50;20; pmed ; CPIF ;SZ;nobenders;119;119;0;0;0;0;0;0;0.145519;101;119;0;0;7-50-20;
datap/pmed7.txt;7;50;15; pmed ; CPIF ;SZ;nobenders;139;139;0;0;0;0;0;0;0.150489;101;139;0;0;7-50-15;
datap/pmed7.txt;7;50;12; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.104526;101;147;0;0;7-50-12;
datap/pmed7.txt;7;50;10; pmed ; CPIF ;SZ;nobenders;152;152;0;0;0;0;0;0;0.140819;101;152;0;0;7-50-10;
datap/pmed7.txt;7;50;8; pmed ; CPIF ;SZ;nobenders;161;161;0;0;0;0;0;0;0.127639;101;161;0;0;7-50-8;
datap/pmed8.txt;8;100;20; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.300817;101;87;0;0;8-100-20;
datap/pmed8.txt;8;100;15; pmed ; CPIF ;SZ;nobenders;116;116;0;0;0;0;0;0;0.364354;101;116;0;0;8-100-15;
datap/pmed8.txt;8;100;12; pmed ; CPIF ;SZ;nobenders;128;128;0;0;0;0;0;0;0.438543;101;128;0;0;8-100-12;
datap/pmed8.txt;8;100;10; pmed ; CPIF ;SZ;nobenders;136;136;0;0;0;0;0;0;0.241922;101;136;0;0;8-100-10;
datap/pmed8.txt;8;100;8; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.461164;101;147;0;0;8-100-8;
datap/pmed8.txt;8;80;20; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.250822;101;87;0;0;8-80-20;
datap/pmed8.txt;8;80;15; pmed ; CPIF ;SZ;nobenders;116;116;0;0;0;0;0;0;0.154676;101;116;0;0;8-80-15;
datap/pmed8.txt;8;80;12; pmed ; CPIF ;SZ;nobenders;128;128;0;0;0;0;0;0;0.652779;101;128;0;0;8-80-12;
datap/pmed8.txt;8;80;10; pmed ; CPIF ;SZ;nobenders;136;136;0;0;0;0;0;0;0.16082;101;136;0;0;8-80-10;
datap/pmed8.txt;8;80;8; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.205303;101;147;0;0;8-80-8;
datap/pmed8.txt;8;50;20; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.368186;101;87;0;0;8-50-20;
datap/pmed8.txt;8;50;15; pmed ; CPIF ;SZ;nobenders;116;116;0;0;0;0;0;0;0.482268;101;116;0;0;8-50-15;
datap/pmed8.txt;8;50;12; pmed ; CPIF ;SZ;nobenders;128;128;0;0;0;0;0;0;0.283552;101;128;0;0;8-50-12;
datap/pmed8.txt;8;50;10; pmed ; CPIF ;SZ;nobenders;136;136;0;0;0;0;0;0;0.204821;101;136;0;0;8-50-10;
datap/pmed8.txt;8;50;8; pmed ; CPIF ;SZ;nobenders;147;147;0;0;0;0;0;0;0.173056;101;147;0;0;8-50-8;
datap/pmed9.txt;9;100;20; pmed ; CPIF ;SZ;nobenders;43;43;0;0;0;0;0;0;0.306533;101;43;0;0;9-100-20;
datap/pmed9.txt;9;100;15; pmed ; CPIF ;SZ;nobenders;62;62;0;0;0;0;0;0;0.374212;101;62;0;0;9-100-15;
datap/pmed9.txt;9;100;12; pmed ; CPIF ;SZ;nobenders;76;76;0;0;0;0;0;0;0.245431;101;76;0;0;9-100-12;
datap/pmed9.txt;9;100;10; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.389564;101;87;0;0;9-100-10;
datap/pmed9.txt;9;100;8; pmed ; CPIF ;SZ;nobenders;96;96;0;0;0;0;0;0;0.356075;101;96;0;0;9-100-8;
datap/pmed9.txt;9;80;20; pmed ; CPIF ;SZ;nobenders;43;43;0;0;0;0;0;0;0.374702;101;43;0;0;9-80-20;
datap/pmed9.txt;9;80;15; pmed ; CPIF ;SZ;nobenders;62;62;0;0;0;0;0;0;0.35581;101;62;0;0;9-80-15;
datap/pmed9.txt;9;80;12; pmed ; CPIF ;SZ;nobenders;76;76;0;0;0;0;0;0;0.329268;101;76;0;0;9-80-12;
datap/pmed9.txt;9;80;10; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.500648;101;87;0;0;9-80-10;
datap/pmed9.txt;9;80;8; pmed ; CPIF ;SZ;nobenders;96;96;0;0;0;0;0;0;0.198287;101;96;0;0;9-80-8;
datap/pmed9.txt;9;50;20; pmed ; CPIF ;SZ;nobenders;43;43;0;0;0;0;0;0;0.568389;101;43;0;0;9-50-20;
datap/pmed9.txt;9;50;15; pmed ; CPIF ;SZ;nobenders;62;62;0;0;0;0;0;0;0.48718;101;62;0;0;9-50-15;
datap/pmed9.txt;9;50;12; pmed ; CPIF ;SZ;nobenders;76;76;0;0;0;0;0;0;0.187116;101;76;0;0;9-50-12;
datap/pmed9.txt;9;50;10; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.571942;101;87;0;0;9-50-10;
datap/pmed9.txt;9;50;8; pmed ; CPIF ;SZ;nobenders;96;96;0;0;0;0;0;0;0.253147;101;96;0;0;9-50-8;
datap/pmed10.txt;10;80;20; pmed ; CPIF ;SZ;nobenders;0;0;0;0;0;0;0;0;0.491453;101;0;0;0;10-80-20;
datap/pmed10.txt;10;80;15; pmed ; CPIF ;SZ;nobenders;17;17;0;0;0;0;0;0;0.317441;101;17;0;0;10-80-15;
datap/pmed10.txt;10;80;12; pmed ; CPIF ;SZ;nobenders;37;37;0;0;0;0;0;0;0.210747;101;37;0;0;10-80-12;
datap/pmed10.txt;10;80;10; pmed ; CPIF ;SZ;nobenders;53;53;0;0;0;0;0;0;0.368694;101;53;0;0;10-80-10;
datap/pmed10.txt;10;80;8; pmed ; CPIF ;SZ;nobenders;61;61;0;0;0;0;0;0;0.258664;101;61;0;0;10-80-8;
datap/pmed10.txt;10;50;20; pmed ; CPIF ;SZ;nobenders;2;2;0;0;0;0;0;0;0.812625;101;2;0;0;10-50-20;
datap/pmed10.txt;10;50;15; pmed ; CPIF ;SZ;nobenders;17;17;0;0;0;0;0;0;0.308976;101;17;0;0;10-50-15;
datap/pmed10.txt;10;50;12; pmed ; CPIF ;SZ;nobenders;37;37;0;0;0;0;0;0;0.316586;101;37;0;0;10-50-12;
datap/pmed10.txt;10;50;10; pmed ; CPIF ;SZ;nobenders;53;53;0;0;0;0;0;0;0.254602;101;53;0;0;10-50-10;
datap/pmed10.txt;10;50;8; pmed ; CPIF ;SZ;nobenders;61;61;0;0;0;0;0;0;0.25075;101;61;0;0;10-50-8;
datap/pmed10.txt;10;25;20; pmed ; CPIF ;SZ;nobenders;22;22;0;0;0;0;0;0;5.045297;101;22;0;0;10-25-20;
datap/pmed10.txt;10;25;15; pmed ; CPIF ;SZ;nobenders;26;26;0;0;0;0;0;192;6.771409;101;26;0;0;10-25-15;
datap/pmed10.txt;10;25;12; pmed ; CPIF ;SZ;nobenders;41;41;0;0;0;0;0;30;3.144131;101;41;0;0;10-25-12;
datap/pmed10.txt;10;25;10; pmed ; CPIF ;SZ;nobenders;56;56;0;0;0;0;0;0;0.381859;101;56;0;0;10-25-10;
datap/pmed10.txt;10;25;8; pmed ; CPIF ;SZ;nobenders;64;64;0;0;0;0;0;0;1.280599;101;64;0;0;10-25-8;
datap/pmed11.txt;11;80;20; pmed ; CPIF ;SZ;nobenders;195;195;0;0;0;0;0;0;1.448266;101;195;0;0;11-80-20;
datap/pmed11.txt;11;80;15; pmed ; CPIF ;SZ;nobenders;226;226;0;0;0;0;0;0;0.345602;101;226;0;0;11-80-15;
datap/pmed11.txt;11;80;12; pmed ; CPIF ;SZ;nobenders;246;246;0;0;0;0;0;0;3.702688;101;246;0;0;11-80-12;
datap/pmed11.txt;11;80;10; pmed ; CPIF ;SZ;nobenders;254;254;0;0;0;0;0;0;0.337665;101;254;0;0;11-80-10;
datap/pmed11.txt;11;80;8; pmed ; CPIF ;SZ;nobenders;264;264;0;0;0;0;0;0;0.559752;101;264;0;0;11-80-8;
datap/pmed11.txt;11;50;20; pmed ; CPIF ;SZ;nobenders;195;195;0;0;0;0;0;0;2.210203;101;195;0;0;11-50-20;
datap/pmed11.txt;11;50;15; pmed ; CPIF ;SZ;nobenders;226;226;0;0;0;0;0;0;0.730375;101;226;0;0;11-50-15;
datap/pmed11.txt;11;50;12; pmed ; CPIF ;SZ;nobenders;246;246;0;0;0;0;0;0;0.848162;101;246;0;0;11-50-12;
datap/pmed11.txt;11;50;10; pmed ; CPIF ;SZ;nobenders;254;254;0;0;0;0;0;0;0.593604;101;254;0;0;11-50-10;
datap/pmed11.txt;11;50;8; pmed ; CPIF ;SZ;nobenders;264;264;0;0;0;0;0;0;0.192201;101;264;0;0;11-50-8;
datap/pmed11.txt;11;25;20; pmed ; CPIF ;SZ;nobenders;195;195;0;0;0;0;0;0;0.607145;101;195;0;0;11-25-20;
datap/pmed11.txt;11;25;15; pmed ; CPIF ;SZ;nobenders;227;227;0;0;0;0;0;0;1.959512;101;227;0;0;11-25-15;
datap/pmed11.txt;11;25;12; pmed ; CPIF ;SZ;nobenders;246;246;0;0;0;0;0;0;1.24123;101;246;0;0;11-25-12;
datap/pmed11.txt;11;25;10; pmed ; CPIF ;SZ;nobenders;255;255;0;0;0;0;0;0;0.409765;101;255;0;0;11-25-10;
datap/pmed11.txt;11;25;8; pmed ; CPIF ;SZ;nobenders;264;264;0;0;0;0;0;0;0.200571;101;264;0;0;11-25-8;
datap/pmed12.txt;12;80;20; pmed ; CPIF ;SZ;nobenders;154;154;0;0;0;0;0;0;0.412133;101;154;0;0;12-80-20;
datap/pmed12.txt;12;80;15; pmed ; CPIF ;SZ;nobenders;195;195;0;0;0;0;0;0;0.402494;101;195;0;0;12-80-15;
datap/pmed12.txt;12;80;12; pmed ; CPIF ;SZ;nobenders;226;226;0;0;0;0;0;0;0.831804;101;226;0;0;12-80-12;
datap/pmed12.txt;12;80;10; pmed ; CPIF ;SZ;nobenders;235;235;0;0;0;0;0;0;0.792539;101;235;0;0;12-80-10;
datap/pmed12.txt;12;80;8; pmed ; CPIF ;SZ;nobenders;248;248;0;0;0;0;0;0;1.334754;101;248;0;0;12-80-8;
datap/pmed12.txt;12;50;20; pmed ; CPIF ;SZ;nobenders;154;154;0;0;0;0;0;0;1.189779;101;154;0;0;12-50-20;
datap/pmed12.txt;12;50;15; pmed ; CPIF ;SZ;nobenders;195;195;0;0;0;0;0;0;0.600483;101;195;0;0;12-50-15;
datap/pmed12.txt;12;50;12; pmed ; CPIF ;SZ;nobenders;226;226;0;0;0;0;0;0;0.183005;101;226;0;0;12-50-12;
datap/pmed12.txt;12;50;10; pmed ; CPIF ;SZ;nobenders;235;235;0;0;0;0;0;0;0.874994;101;235;0;0;12-50-10;
datap/pmed12.txt;12;50;8; pmed ; CPIF ;SZ;nobenders;248;248;0;0;0;0;0;0;0.566106;101;248;0;0;12-50-8;
datap/pmed12.txt;12;25;20; pmed ; CPIF ;SZ;nobenders;163;162.991368;0;0;0;0;0;1463;277.036766;102;163;0;5.29571E-05;12-25-20;
datap/pmed12.txt;12;25;15; pmed ; CPIF ;SZ;nobenders;199;199;0;0;0;0;0;279;45.922781;101;199;0;0;12-25-15;
datap/pmed12.txt;12;25;12; pmed ; CPIF ;SZ;nobenders;226;226;0;0;0;0;0;0;0.283048;101;226;0;0;12-25-12;
datap/pmed12.txt;12;25;10; pmed ; CPIF ;SZ;nobenders;237;237;0;0;0;0;0;13;7.538798;101;237;0;0;12-25-10;
datap/pmed12.txt;12;25;8; pmed ; CPIF ;SZ;nobenders;250;250;0;0;0;0;0;0;3.342341;101;250;0;0;12-25-8;
datap/pmed13.txt;13;80;20; pmed ; CPIF ;SZ;nobenders;70;70;0;0;0;0;0;0;1.645773;101;70;0;0;13-80-20;
datap/pmed13.txt;13;80;15; pmed ; CPIF ;SZ;nobenders;113;113;0;0;0;0;0;0;1.665677;101;113;0;0;13-80-15;
datap/pmed13.txt;13;80;12; pmed ; CPIF ;SZ;nobenders;139;139;0;0;0;0;0;0;1.794401;101;139;0;0;13-80-12;
datap/pmed13.txt;13;80;10; pmed ; CPIF ;SZ;nobenders;160;160;0;0;0;0;0;0;1.819171;101;160;0;0;13-80-10;
datap/pmed13.txt;13;80;8; pmed ; CPIF ;SZ;nobenders;178;178;0;0;0;0;0;0;1.856742;101;178;0;0;13-80-8;
datap/pmed13.txt;13;50;20; pmed ; CPIF ;SZ;nobenders;70;70;0;0;0;0;0;0;1.020431;101;70;0;0;13-50-20;
