file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_MCLP_n100_m50000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3601.268,lpstatus: 108,1,50000
GRID_MCLP_n100_m50000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3601.099,lpstatus: 108,1,50000
GRID_MCLP_n100_m100000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3602.266,lpstatus: 108,1,100000
GRID_MCLP_n100_m100000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3602.089,lpstatus: 108,1,100000
GRID_MCLP_n100_m1000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,401206.9859,401206.9859,401206.9859,-9.25596E+61,0,0,0,0,0,15.091,lpstatus: 101,0,1000
GRID_MCLP_n100_m1000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,MW, nobenders ,792613.5389,792613.5389,792613.5389,-9.25596E+61,0,0,0,0,0,44.401,lpstatus: 101,0,1000
GRID_MCLP_n100_m5000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,2007581.847,2007581.847,2007581.847,-9.25596E+61,0,0,0,0,0,425.835,lpstatus: 101,0,5000
GRID_MCLP_n100_m5000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,MW, nobenders ,3831869.881,3831869.881,3831869.881,-9.25596E+61,0,0,0,0,0,1429.562,lpstatus: 101,0,5000
GRID_MCLP_n100_m10000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,4062194.872,4062194.872,4062194.872,-9.25596E+61,0,0,0,0,0,2026.24,lpstatus: 101,0,10000
GRID_MCLP_n100_m10000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,MW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3600.99,lpstatus: 108,1,10000
GRID_MCLP_n100_m50000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3601.355,lpstatus: 108,1,50000
GRID_MCLP_n100_m50000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,MW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3603.199,lpstatus: 108,1,50000
GRID_MCLP_n100_m100000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,MW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3602.303,lpstatus: 108,1,100000
GRID_MCLP_n100_m100000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,MW, nobenders ,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3607.529,lpstatus: 108,1,100000
