file;na;r;R;mpif;model;na;sol;z;bestlp;root;cuts;cuts;cuts;cuts;nodecount;time;status;gap
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;208876;208876;208876;0;0;0;0;0;0;1.167387;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;294540;294540;294540;0;0;0;0;0;0;1.81962;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;422724;422724;422724;0;0;0;0;0;0;1.946483;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;1484139;1484139;1484139;0;0;0;0;0;0;19.836012;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;2114746;2114746;2114746;0;0;0;0;0;0;22.441526;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;2962951;2962951;2962951;0;0;0;0;0;0;75.861583;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;4241627;4241627;4241627;0;0;0;0;0;0;85.735803;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;29813;29813;29813;29813;14;20;0;0;0;0.008196;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;43575;43575;43575;43575;6;4;0;0;0;0.002373;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;145576;145576;145576;145576;15;20;0;0;0;0.0202;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;208876;208876;208876;208876;6;4;0;0;0;0.008012;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;294540;294540;294540;294540;16;27;0;0;0;0.040356;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;422724;422724;422724;422724;6;5;0;0;0;0.018302;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;1484139;1484139;1484139;1484139;16;27;0;0;0;0.375352;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;2114746;2114746;2114746;2114746;6;5;0;0;0;0.141056;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;2962951;2962951;2962951;2962951;16;27;0;0;0;0.915173;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;4241627;4241627;4241627;4241627;6;5;0;0;0;0.371444;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;29813;29813;29813;0;16;11;3;0;0;0.00255;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;43575;43575;43575;0;8;5;1;0;0;0.001812;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;145576;145576;145576;0;15;5;2;0;0;0.00454;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;208876;208876;208876;0;8;5;1;0;0;0.003829;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;294540;294540;294540;0;15;10;2;0;0;0.007342;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;422724;422724;422724;0;8;5;1;0;0;0.005246;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;1484139;1484139;1484139;0;16;10;3;0;0;0.038135;lpstatus: 101;0
